batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1,c4:41:1e:fa:08:88#1,c4:41:1e:fa:08:89#1,c4:41:1e:fa:08:8a#1,ca:41:1e:fa:08:88#1
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,10,12.882000000000,2.454000000000,2.943000000000,23.276000000000,9.579000000000,8.744000000000,36.279000000000,20.212000000000,17.767000000000,-100,-100,-100,17.473000000000,7.226000000000,-0.507000000000,17.161000000000,24.682000000000,6.529000000000,5.219000000000,-100
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,11,16.020000000000,2.979000000000,2.904000000000,23.520000000000,9.641000000000,8.920000000000,36.523000000000,20.278000000000,17.767000000000,-100,-100,-100,17.233000000000,7.286000000000,-0.570000000000,16.989000000000,24.326000000000,6.644000000000,5.204000000000,-100
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,12,17.257000000000,2.694000000000,2.728000000000,23.344000000000,9.804000000000,8.803000000000,35.107000000000,20.276000000000,17.865000000000,-100,-100,-100,17.229000000000,7.301000000000,-0.588000000000,17.026000000000,24.223000000000,6.626000000000,5.145000000000,-100
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,13,16.488000000000,2.857000000000,2.650000000000,23.398000000000,9.729000000000,8.607000000000,35.382000000000,20.362000000000,17.806000000000,-100,-100,-100,17.423000000000,7.220000000000,-0.551000000000,16.989000000000,23.866000000000,6.566000000000,5.145000000000,-100
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,14,14.445000000000,2.651000000000,2.846000000000,23.041000000000,9.854000000000,8.842000000000,35.694000000000,20.395000000000,17.767000000000,-100,-100,-100,17.342000000000,7.223000000000,-0.513000000000,17.167000000000,23.623000000000,6.526000000000,5.072000000000,-100
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,15,12.882000000000,2.970000000000,2.982000000000,23.970000000000,9.929000000000,8.646000000000,36.157000000000,20.367000000000,17.982000000000,-100,-100,-100,17.583000000000,6.969000000000,-0.321000000000,16.914000000000,23.970000000000,6.644000000000,5.189000000000,24.570000000000
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,16,18.120000000000,2.898000000000,2.885000000000,23.510000000000,9.726000000000,8.783000000000,36.288000000000,20.423000000000,17.816000000000,-100,-100,-100,17.386000000000,6.868000000000,-0.541000000000,17.092000000000,24.560000000000,6.516000000000,5.160000000000,-100
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,17,18.241000000000,2.644000000000,3.021000000000,23.388000000000,9.804000000000,8.881000000000,35.351000000000,20.367000000000,17.611000000000,13.969000000000,-100,-100,17.345000000000,7.108000000000,-0.351000000000,16.726000000000,24.223000000000,6.607000000000,5.219000000000,-100
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,18,15.069000000000,3.016000000000,2.767000000000,23.051000000000,9.776000000000,8.978000000000,35.810000000000,20.245000000000,17.572000000000,-100,23.154000000000,-100,17.464000000000,6.951000000000,-0.460000000000,16.989000000000,23.979000000000,6.604000000000,5.145000000000,-100
03c6987c93bc9a98235fa5af2ccd5bb7,0.0000,8.0000,0.0000,google,Pixel 3a,0.00,19,18.045000000000,2.779000000000,2.592000000000,22.695000000000,9.804000000000,8.861000000000,36.169000000000,20.334000000000,17.846000000000,-100,-100,-100,17.542000000000,6.793000000000,-0.632000000000,17.167000000000,23.857000000000,6.576000000000,5.204000000000,-100
